date,player_id,player_name,team,prop_type,lineup_status,lineup_position,verdict,logged_at,actual_result,actual_stat_value,model_probability,sportsbook_odds,sportsbook_line,implied_probability,edge,best_book,xba,xwoba,hard_hit_pct,sweet_spot_pct,whiff_pct,ev50,exit_velocity,barrel_pct,hr_fb_ratio,launch_angle_pct,pitcher_xera,pitcher_hr9,park_factor,platoon_adv,weather_adjustment
2026-05-04,691718,Pete Crow-Armstrong,CHC,hit,official,8,NO,2026-05-04T22:36:08.629246+00:00,1,1.0,0.6023,+1,0.5,0.9901,-0.3878,DraftKings,0.235,0.302,0.461,0.247,0.284,102.635032381,91.7,0.05,0.0,0.0,0.0,0.0,0.5714285714285714,0.62,0.0
2026-05-04,691720,Kyle Karros,COL,hit,official,7,NO,2026-05-04T22:36:08.627238+00:00,1,1.0,0.6232,+2,0.5,0.9804,-0.3572,DraftKings,0.266,0.357,0.4,0.457,0.255,99.990040286,90.4,0.043,0.0,0.0,2.75,0.57,0.5714285714285714,0.38,0.0
2026-05-04,691785,Marcelo Mayer,BOS,hit,official,7,LEAN,2026-05-04T22:36:08.625494+00:00,1,2.0,0.6331,,,,,,0.221,0.291,0.443,0.314,0.262,99.643740286,88.4,0.062,0.0,0.0,5.89,1.32,0.5714285714285714,0.62,0.0
2026-05-04,691788,Joe Mack,MIA,hit,official,7,NO,2026-05-04T22:36:08.631250+00:00,0,0.0,0.5854,+1,0.5,0.9901,-0.4047,DraftKings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,1.72,0.5714285714285714,0.62,0.0
2026-05-04,693307,Dillon Dingler,DET,hit,official,3,LEAN,2026-05-04T22:36:08.623649+00:00,1,1.0,0.6434,+1,0.5,0.9901,-0.3467,BetMGM,0.317,0.43,0.524,0.439,0.182,101.704724878,90.8,0.123,0.0,0.0,1.8,0.84,0.5714285714285714,0.38,0.0
2026-05-04,694192,Jackson Chourio,MIL,hit,official,2,NO,2026-05-04T22:36:08.629246+00:00,1,4.0,0.5944,+2,0.5,0.9804,-0.386,DraftKings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01,1.84,0.5714285714285714,0.38,0.0
2026-05-04,694208,Moisés Ballesteros,CHC,hit,official,2,LEAN,2026-05-04T22:36:08.625494+00:00,0,0.0,0.6325,+2,0.5,0.9804,-0.3479,DraftKings,0.275,0.357,0.5,0.412,0.253,101.326749118,90.9,0.087,0.0,0.0,0.0,0.0,0.5714285714285714,0.62,0.0
2026-05-04,694212,Samuel Basallo,BAL,hit,official,5,NO,2026-05-04T22:36:08.627238+00:00,0,0.0,0.6166,+1,0.5,0.9901,-0.3735,DraftKings,0.242,0.329,0.46,0.317,0.358,103.173208065,92.4,0.06,0.0,0.0,2.38,0.22,0.5714285714285714,0.62,0.0
2026-05-04,694384,Nolan Schanuel,LAA,hit,probable_recent,3,LEAN,2026-05-04T22:36:08.625494+00:00,1,2.0,0.6323,+3,0.5,0.9709,-0.3386,DraftKings,0.265,0.301,0.318,0.327,0.16,96.961150926,86.8,0.014,0.0,0.0,4.53,0.49,0.5714285714285714,0.62,0.0
2026-05-04,694728,Brice Matthews,HOU,hit,probable_recent,6,NO,2026-05-04T22:36:08.629246+00:00,0,0.0,0.603,+2,0.5,0.9804,-0.3774,BetMGM,0.193,0.283,0.333,0.405,0.379,99.7468995,87.1,0.052,0.0,0.0,3.98,0.96,0.5714285714285714,0.38,0.0
2026-05-04,695506,Jac Caglianone,KC,hit,official,7,YES,2026-05-04T22:36:08.623649+00:00,1,1.0,0.6517,+1,0.5,0.9901,-0.3384,DraftKings,0.247,0.331,0.547,0.344,0.33,106.552890313,94.3,0.091,0.0,0.0,4.27,1.27,0.5714285714285714,0.62,0.0
2026-05-04,695600,Carter Jensen,KC,hit,official,5,LEAN,2026-05-04T22:36:08.623649+00:00,1,1.0,0.6381,+1,0.5,0.9901,-0.352,DraftKings,0.22,0.32,0.448,0.328,0.358,102.441124118,91.3,0.07,0.0,0.0,4.27,1.27,0.5714285714285714,0.62,0.0
2026-05-04,695657,Colson Montgomery,CWS,hit,probable_recent,4,NO,2026-05-04T22:36:08.627238+00:00,1,1.0,0.6157,+1,0.5,0.9901,-0.3744,DraftKings,0.215,0.338,0.388,0.413,0.349,101.4177845,89.6,0.086,0.0,0.0,3.1,0.63,0.5714285714285714,0.62,0.0
2026-05-04,696100,Hunter Goodman,COL,hit,official,4,NO,2026-05-04T22:36:08.627238+00:00,0,0.0,0.6168,+2,0.5,0.9804,-0.3636,DraftKings,0.217,0.318,0.536,0.362,0.366,103.846494706,93.3,0.082,0.0,0.0,2.75,0.57,0.5714285714285714,0.38,0.0
2026-05-04,701350,Roman Anthony,BOS,hit,official,3,YES,2026-05-04T22:36:08.622776+00:00,0,0.0,0.6542,,,,,,0.261,0.354,0.48,0.4,0.285,102.351801622,92.5,0.054,0.0,0.0,5.89,1.32,0.5714285714285714,0.62,0.0
2026-05-04,701358,Cam Smith,HOU,hit,probable_recent,7,LEAN,2026-05-04T22:36:08.627238+00:00,1,1.0,0.6251,+1,0.5,0.9901,-0.365,DraftKings,0.255,0.344,0.451,0.341,0.316,102.482754146,88.8,0.088,0.0,0.0,3.98,0.96,0.5714285714285714,0.38,0.0
2026-05-04,701398,Sal Stewart,CIN,hit,official,4,LEAN,2026-05-04T22:36:08.623649+00:00,1,1.0,0.6353,+1,0.5,0.9901,-0.3548,DraftKings,0.279,0.392,0.437,0.379,0.246,101.9020982,91.3,0.129,0.0,0.0,3.79,0.76,0.5714285714285714,0.38,0.0
2026-05-04,701538,Jackson Merrill,SD,hit,probable_recent,3,NO,2026-05-04T22:36:08.629246+00:00,1,2.0,0.6063,+1,0.5,0.9901,-0.3838,DraftKings,0.223,0.299,0.441,0.301,0.272,100.457627778,89.1,0.066,0.0,0.0,0.0,0.0,0.5714285714285714,0.62,0.0
2026-05-04,701675,Nathan Church,STL,hit,official,7,LEAN,2026-05-04T22:36:08.627238+00:00,1,1.0,0.6256,+1,0.5,0.9901,-0.3645,DraftKings,0.25,0.311,0.347,0.36,0.218,98.683078919,86.8,0.087,0.0,0.0,4.27,0.64,0.5714285714285714,0.62,0.0
2026-05-04,701678,Hao-Yu  Lee,DET,hit,official,7,NO,2026-05-04T22:36:08.629246+00:00,0,0.0,0.5939,,,,,,0.199,0.308,0.429,0.381,0.375,100.806872727,90.5,0.083,0.0,0.0,1.8,0.84,0.5714285714285714,0.38,0.0
2026-05-04,701807,Carson Benge,NYM,hit,official,7,LEAN,2026-05-04T22:36:08.623649+00:00,1,1.0,0.636,,,,,,0.236,0.292,0.425,0.356,0.227,100.597049459,90.6,0.028,0.0,0.0,5.53,1.41,0.5714285714285714,0.62,0.0
2026-05-04,702222,Justin Crawford,PHI,hit,official,9,NO,2026-05-04T22:36:08.627238+00:00,0,0.0,0.6171,+1,0.5,0.9901,-0.373,DraftKings,0.251,0.293,0.346,0.333,0.197,98.096844211,88.3,0.9,0.0,0.0,3.51,0.55,0.5714285714285714,0.62,0.0
2026-05-04,702284,Cole Young,SEA,hit,probable_recent,6,LEAN,2026-05-04T22:36:08.623649+00:00,0,0.0,0.6417,+1,0.5,0.9901,-0.3484,DraftKings,0.275,0.341,0.404,0.383,0.24,99.495202553,88.0,0.058,0.0,0.0,4.78,2.19,0.5714285714285714,0.62,0.0
2026-05-04,802139,JJ Wetherholt,STL,hit,official,1,LEAN,2026-05-04T22:36:08.623649+00:00,1,2.0,0.6345,+1,0.5,0.9901,-0.3556,DraftKings,0.23,0.359,0.452,0.365,0.249,99.794732692,90.2,0.064,0.0,0.0,4.27,0.64,0.5714285714285714,0.62,0.0
2026-05-04,802415,Chandler Simpson,TB,hit,official,1,LEAN,2026-05-04T22:36:08.625494+00:00,1,1.0,0.6307,+2,0.5,0.9804,-0.3497,BetMGM,0.262,0.267,0.125,0.306,0.105,92.607726842,83.4,0.0,0.0,0.0,5.49,2.33,0.5714285714285714,0.62,0.0
2026-05-04,803011,Sam Antonacci,CWS,hit,probable_recent,1,LEAN,2026-05-04T22:36:08.623649+00:00,1,2.0,0.6455,+1,0.5,0.9901,-0.3446,DraftKings,0.321,0.404,0.37,0.37,0.144,98.688157391,88.6,0.098,0.0,0.0,3.1,0.63,0.5714285714285714,0.62,0.0
2026-05-04,805300,Jakob Marsee,MIA,hit,official,1,NO,2026-05-04T22:36:08.627238+00:00,1,2.0,0.6188,+1,0.5,0.9901,-0.3713,DraftKings,0.193,0.279,0.374,0.275,0.181,98.740349318,87.8,0.013,0.0,0.0,4.85,1.72,0.5714285714285714,0.62,0.0
2026-05-04,805367,Chase Meidroth,CWS,hit,probable_recent,5,NO,2026-05-04T22:36:08.629246+00:00,1,1.0,0.61,+1,0.5,0.9901,-0.3801,DraftKings,0.24,0.302,0.359,0.304,0.176,97.735348636,87.7,0.029,0.0,0.0,3.1,0.63,0.5714285714285714,0.38,0.0
2026-05-04,805811,Bryce Eldridge,SF,hit,probable_recent,7,NO,2026-05-05T21:51:30.926500+00:00,0,0.0,0.5829,,,,,,0.003,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.92,0.5714285714285714,0.62,0.0
2026-05-04,805904,Zach Cole,HOU,hit,probable_recent,8,NO,2026-05-05T21:51:30.926500+00:00,1,1.0,0.6135,,,,,,0.271,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,1.03,0.5714285714285714,0.62,0.0
2026-05-04,808959,Munetaka Murakami,CWS,hit,probable_recent,2,LEAN,2026-05-04T22:36:08.623649+00:00,1,3.0,0.6355,+1,0.5,0.9901,-0.3546,DraftKings,0.227,0.391,0.639,0.347,0.436,105.967313611,95.2,0.107,0.0,0.0,3.1,0.63,0.5714285714285714,0.62,0.0
2026-05-04,808975,Hyeseong Kim,LAD,hit,probable_recent,8,LEAN,2026-05-05T21:51:30.923332+00:00,1,1.0,0.6341,,,,,,0.29,0.336,0.208,0.453,0.223,95.454471923,85.7,0.027,0.0,0.0,4.93,1.15,0.5714285714285714,0.62,0.0
2026-05-04,808982,Jung Hoo Lee,SF,hit,probable_recent,7,LEAN,2026-05-04T22:36:08.623649+00:00,0,0.0,0.6414,+2,0.5,0.9804,-0.339,BetMGM,0.291,0.326,0.324,0.371,0.153,97.158735472,88.8,0.023,0.0,0.0,5.08,0.8,0.5714285714285714,0.62,0.0
2026-05-04,810938,Ben Williamson,TB,hit,official,7,LEAN,2026-05-04T22:36:08.625494+00:00,1,2.0,0.6282,+1,0.5,0.9901,-0.3619,DraftKings,0.309,0.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,2.33,0.5714285714285714,0.38,0.0
